
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.687661216456474,5.69175875,4.862,14.612
1,6.282933716864981,4.674795,14.4,33.6
2,5.900350087695885,3.78293625,26.152,50.432
3,5.588857720026616,3.2897525,33.304,58.888
4,5.348967152240214,2.906236875,40.198,66.468
5,5.179346376585429,2.68776,44.124,70.284
6,5.0628730529480634,2.5492275,46.944,72.874
7,4.972544433067986,2.43730375,48.958,74.678
8,4.8759160339087915,2.3435275,50.194,75.944
9,4.831642050332915,2.363470625,52.258,77.504
10,4.777322347662715,2.2386525,52.384,77.904
11,4.754538993685857,2.250888125,53.62,78.68
12,4.722381541845455,2.16327,54.182,79.22
13,4.705152645634181,2.101023125,55.28,80.246
14,4.697647653029556,2.15064625,54.834,79.948
15,4.686086171870823,2.114916875,55.366,80.386
16,4.674254973316565,2.058946875,55.742,80.41
17,4.676804651281719,2.194664375,55.24,80.262
18,4.673797530553381,2.056705625,55.068,80.324
19,4.681388890282331,2.093298125,54.496,79.9
20,4.660441808951152,2.088345,55.678,80.614
21,4.638172268807941,2.047761875,57.478,81.754
22,4.616772014190296,2.0500975,56.598,81.518
23,4.598797686272228,2.01969875,56.816,81.656
24,4.604034952951104,2.038520625,57.446,81.92
25,4.579920122870938,2.07882625,56.682,81.336
26,4.579821684606093,1.95217,57.364,82.156
27,4.567979981032436,2.01655875,57.744,82.108
28,4.566873365806788,2.037795,57.746,82.068
29,4.56174128285916,1.976921875,58.014,82.516
30,4.551784270101999,1.96144125,57.456,82.27
31,4.54742797750945,2.0037,57.742,82.552
32,4.5401299790147895,1.99379125,58.514,82.788
33,4.5329620862938516,1.877034375,58.636,82.98
34,4.5299257971759515,2.01609875,58.206,82.616
35,4.521486636462989,1.97817625,57.986,82.784
36,4.514603002122118,1.95148625,59.0,82.924
37,4.513646648604025,1.974450625,58.622,83.21
38,4.513500690079078,2.01532,58.428,82.814
39,4.509721617346604,2.02430375,58.466,82.664
40,4.502912969281474,2.00186,59.112,83.052
41,4.506571417148326,2.084736875,59.124,83.132
42,4.498596312866569,2.012175625,58.74,83.218
43,4.489189782930143,1.95613,59.204,83.264
44,4.492600856311839,1.970465,59.304,83.306
45,4.479397211604595,1.907496875,59.882,83.898
46,4.481272188239622,1.976110625,59.342,83.27
47,4.473995782645602,2.006573125,59.908,83.788
48,4.47652640992057,2.0874825,58.658,82.618
49,4.475439458236862,1.968189375,59.128,83.386
50,4.472157566539533,1.957856875,59.404,83.234
51,4.45597022441327,1.945636875,59.722,83.634
52,4.462751094867852,1.97815375,59.718,83.936
53,4.461688280796383,1.942889375,60.136,83.844
54,4.45801344667237,1.9750575,59.22,83.274
55,4.454411774608731,1.8705325,59.884,83.628
56,4.460976475804154,1.986241875,59.748,83.644
57,4.4474337976859495,1.86967875,60.52,83.694
58,4.448359579910871,1.985349375,60.038,83.834
59,4.4524895396429365,1.927293125,60.218,83.766
60,4.437822925018995,1.953044375,60.052,84.096
61,4.443139512980302,1.978461875,59.838,83.758
62,4.4365050037825,1.882058125,60.518,84.394
63,4.43549637051774,1.9202275,61.034,84.616
64,4.429617225808189,1.974758125,60.404,84.166
65,4.4200721549301765,1.914960625,60.786,84.37
66,4.423837397003021,1.96212125,59.906,83.858
67,4.4277916188029955,1.8243825,61.004,84.346
68,4.41599202844477,1.8781975,60.854,84.648
69,4.415069648990599,1.900503125,60.008,83.92
70,4.410650123188767,1.95087125,60.148,83.866
71,4.408942295819185,1.93093,60.704,84.352
72,4.411550425973397,1.972149375,60.854,84.344
73,4.401030034496777,1.93027625,61.128,84.666
74,4.392818021683774,1.9379825,61.02,84.326
75,4.396112061890347,1.83592375,61.08,84.756
76,4.393553785134867,1.879976875,61.29,84.98
77,4.388419489222624,2.01781625,60.548,84.362
78,4.392810848855224,1.914865,61.022,84.64
79,4.386473946643288,1.88515625,61.496,84.696
80,4.381497736565061,1.874103125,61.792,84.926
81,4.389750120463292,1.93789375,61.092,84.728
82,4.380831838857045,1.88272625,61.622,84.89
83,4.3728083978464865,1.922848125,61.64,84.988
84,4.368218494088086,1.884800625,61.666,84.852
85,4.373769661729683,1.881933125,61.394,84.714
86,4.352477129456856,2.00403125,61.772,85.09
87,4.362666107388878,1.843380625,62.002,85.248
88,4.362239622881582,1.906328125,62.032,85.052
89,4.3578108062347765,2.025820625,60.998,84.632
90,4.359457818906092,1.86574,62.052,85.104
91,4.344199873801056,1.909181875,61.72,84.978
92,4.353055956337713,1.836474375,62.408,85.57
