
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.723669721668376,5.9326675,3.366,10.86
1,6.373442257185513,5.00317875,10.672,27.002
2,6.0241549598407245,4.1562625,20.606,43.936
3,5.715395468886123,3.5497075,29.164,54.74
4,5.457479474403747,3.03404,36.918,63.566
5,5.243199479485835,2.88213375,41.878,68.316
6,5.087778170990865,2.6082575,46.446,72.318
7,4.962790255780487,2.41319875,49.134,75.072
8,4.864274392703016,2.362904375,51.188,76.508
9,4.802064309576101,2.242543125,52.634,78.114
10,4.749789884057313,2.1450675,54.074,79.19
11,4.719275716921109,2.21821875,53.896,79.038
12,4.683485661225667,2.17408125,54.692,79.648
13,4.663065026697073,2.14815625,54.518,79.844
14,4.650933860720115,2.108761875,55.166,80.17
15,4.62788866104357,2.0982,55.82,80.958
16,4.629658026561381,2.0734875,55.482,80.516
17,4.623369098459999,2.0873475,55.86,81.096
18,4.622104874594799,2.0061525,56.572,81.518
19,4.6076245729305585,1.99601,56.2,81.034
20,4.60311117090299,1.988488125,56.83,81.476
21,4.576492667519757,2.09439875,56.684,81.574
22,4.560342246710284,2.017645,57.224,82.184
23,4.540655123245372,2.011305625,57.384,82.19
24,4.534067592345486,2.026018125,57.67,82.208
25,4.526580982458842,2.055321875,57.4,82.188
26,4.5118549736911735,1.961295,57.902,82.586
27,4.5010733798805775,1.97472375,58.424,82.866
28,4.491890119022274,1.929121875,58.716,83.05
29,4.482297771400309,2.116864375,57.912,82.498
30,4.487835819350338,2.02067625,58.436,82.85
31,4.479572968164254,1.9813825,58.898,83.398
32,4.4708855626871085,1.980250625,58.618,82.882
33,4.4697631530940845,1.912398125,58.988,83.282
34,4.455468762419967,1.89348875,59.126,83.52
35,4.46018109946642,1.9438725,59.342,83.454
36,4.448572383487674,2.06790875,58.946,83.306
37,4.447145624539035,2.013258125,58.606,83.274
38,4.447134123302051,1.930455625,59.428,83.744
39,4.44449657571579,1.97312,59.682,83.694
40,4.428617391806404,1.876735625,59.578,83.606
41,4.436997091678464,1.904761875,60.136,84.192
42,4.431284347915878,1.867190625,59.738,83.776
43,4.428064851115807,1.79986875,59.978,84.184
44,4.415795422538866,1.934580625,59.846,83.8
45,4.418136265956982,1.771721875,60.444,84.324
46,4.418552763396084,1.882988125,60.11,84.346
47,4.4179544668953215,1.812069375,60.556,84.322
48,4.413357120089532,1.84925875,60.424,84.488
49,4.408286004671982,2.1104875,58.622,83.408
50,4.406233358459404,1.909901875,59.736,83.978
51,4.416331378262364,1.912193125,59.64,83.974
52,4.404077317071778,1.873093125,60.408,84.24
53,4.398257726745918,1.952300625,60.164,84.272
54,4.3957318256803894,1.897598125,60.688,84.424
55,4.391407076182667,1.898920625,60.496,84.608
56,4.385366296610973,1.886761875,61.566,85.232
57,4.387756150804303,1.935078125,60.444,84.326
58,4.383010455737618,1.818561875,60.71,84.534
59,4.377388027214792,1.763809375,61.146,84.61
60,4.367503582127076,1.847154375,60.94,84.71
61,4.363299962654613,1.891666875,61.398,84.836
62,4.368008435481149,1.954885625,60.516,84.402
63,4.35923880093914,1.812843125,61.372,85.066
64,4.363733484380812,1.81407375,60.54,84.53
65,4.358859884713911,1.769033125,61.552,85.36
66,4.359843377098002,1.8408425,61.64,85.032
67,4.337874765888724,1.939716875,61.476,85.142
68,4.347943914152189,1.79394875,61.762,85.26
69,4.343161014496285,1.81855,61.174,84.902
70,4.348564206404529,1.78813625,62.02,85.562
71,4.344047450247506,1.89296625,61.424,84.912
72,4.3503136582659945,1.85512625,61.674,85.144
73,4.339026876972301,1.774509375,62.098,85.424
74,4.336298602767633,1.86389625,61.586,84.932
75,4.3232963114473675,1.86191875,61.75,85.378
