epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.715690052393779,5.84027375,4.368,13.32
1,6.29307450789864,4.70917875,15.038,34.786
2,5.896288933221819,3.96547875,24.322,48.338
3,5.590592737642841,3.34193875,33.354,59.468
4,5.356446691797573,2.99476125,39.018,65.438
5,5.19214386937144,2.65394625,45.028,71.322
6,5.045555923449337,2.532415,46.884,73.424
7,4.961904610938656,2.435865,48.608,74.892
8,4.866687715940869,2.189781875,53.69,78.954
9,4.830154060972048,2.268349375,52.418,77.852
10,4.7606361971855256,2.125975,54.806,79.976
11,4.716775496864262,2.14062625,53.932,79.212
12,4.665332944424839,2.0312225,57.676,82.046
13,4.684387435421432,2.29274875,53.278,79.188
14,4.610597254906231,2.301926875,53.938,79.364
15,4.624752494716921,2.14250125,55.782,80.838
16,4.622797171401864,2.079500625,55.582,80.702
17,4.591804596126967,2.133875,55.218,80.548
18,4.605913050204013,2.2419475,54.586,80.126
19,4.596981933774595,2.194614375,54.382,79.854
20,4.609722527177055,2.15329625,54.264,79.858
21,4.519072720311073,1.89379625,60.43,84.29
22,4.541133968322019,2.225684375,53.97,79.668
23,4.531378362214295,2.055733125,56.648,81.74
24,4.496038741362251,2.1016925,56.008,81.148
25,4.499581989178185,2.21615,53.942,79.584
26,4.496965884566843,2.00971,56.932,82.158
27,4.468742346951792,2.085290625,57.836,82.462
28,4.468786199486616,2.07028125,56.93,81.972
29,4.458922115307443,1.800825,61.85,85.024
30,4.439533089743423,1.935005625,58.826,83.504
31,4.449450068593395,1.884285,60.304,84.344
32,4.432092786799993,1.8412175,62.414,85.636
33,4.43731145909264,1.905124375,59.076,83.624
34,4.4083039312289305,1.833068125,62.298,85.354
35,4.429790100668774,2.097214375,57.606,82.314
36,4.413204108004876,2.152484375,55.78,81.252
37,4.424880831424311,1.910453125,59.036,83.38
38,4.399545577966151,1.751104375,63.26,86.346
39,4.399207537414097,1.975605,60.432,84.414
40,4.410794530456532,1.804540625,63.636,86.128
41,4.399926796911337,1.75080375,63.496,86.358
42,4.375383620424601,1.99305125,58.306,82.938
43,4.3923073564570005,1.92033125,59.002,83.636
44,4.381052099177977,1.70504625,63.792,86.546
45,4.386964249675216,1.93561875,59.92,84.208
46,4.374693915231541,1.9076775,59.52,83.676
47,4.364165785548713,1.865721875,60.184,84.236
48,4.34944100012633,1.82160375,63.332,86.182
49,4.374844804607151,1.982771875,58.246,82.824
50,4.375020518933206,1.895394375,60.82,84.65
51,4.3429287156688074,1.701333125,64.21,86.79
52,4.479494158544434,1.75677,61.786,85.428
53,4.333857420643961,1.89692375,61.542,84.852
54,4.329346319359253,1.86079375,61.952,85.146
55,4.3331518071266375,1.8342925,61.808,85.522
56,4.333471109178924,1.85561375,61.404,85.01
57,4.334240214642927,1.76742625,61.626,85.398
58,4.335461536574785,1.828375,61.754,85.294
59,4.320758111422826,1.85694375,61.412,85.054
60,4.33222374607364,1.939440625,61.14,85.016
61,4.319742977398832,1.864820625,61.576,85.286
62,4.311664186546835,1.841374375,61.982,85.248
63,4.308764893282828,1.814369375,61.92,85.6
64,4.307778745136343,1.808,61.848,85.398
65,4.305975917717451,1.809048125,62.406,85.618
66,4.31471000788202,1.827765625,62.492,85.702
67,4.303013475330241,1.805885,62.322,85.63
68,4.303503551115367,1.789575,62.392,85.642
69,4.293437951141596,1.74436375,62.802,86.014
70,4.29060437567573,1.785285625,62.118,85.76
71,4.290719952089278,1.72782375,62.756,86.002
72,4.294199214042132,1.84565875,63.056,85.956
73,4.28770835721918,1.861951875,62.162,85.506
74,4.277988123981873,1.83407875,62.626,85.636
75,4.2798739874538025,1.825905,63.308,86.238
76,4.280341449728592,1.83172125,62.876,86.018
77,4.265738686334719,1.812826875,62.78,85.956
78,4.27199293693137,1.773661875,63.38,86.004
79,4.2741340311010205,1.83446875,62.398,85.768
80,4.262404984057706,1.857235,62.852,85.922
81,4.264689645372746,1.808269375,62.682,85.924
82,4.258057406856435,1.782381875,63.118,86.326
83,4.2546756807318316,1.709995,63.466,86.334
84,4.241217199483348,1.76654375,63.464,86.416
85,4.245832169350121,1.75843875,63.04,85.846
86,4.248025995592386,1.795900625,63.686,86.326
87,4.239980297305865,1.806541875,63.428,86.246
88,4.236952056154908,1.73035375,63.106,86.32
89,4.2351230416387,1.719549375,63.998,86.586
90,4.229061059583042,1.798644375,64.156,86.71
91,4.22950055039671,1.764685625,63.658,86.566
92,4.217946800059855,1.689254375,64.318,87.036
93,4.218830666278599,1.6996675,63.812,86.788
94,4.2175593034336645,1.708901875,64.33,86.866
95,4.21344595253676,1.79629125,64.002,86.934
96,4.21743223690727,1.722436875,64.402,87.106
97,4.217933065563258,1.69220875,64.216,86.772
98,4.205590444483449,1.753841875,63.572,86.64
99,4.203327609270957,1.775875,63.97,86.816
100,4.20873665445179,1.7547925,64.46,87.13
101,4.199108371201994,1.6738,64.856,87.304
102,4.189814487791333,1.763368125,64.506,87.12
103,4.193562902976898,1.753633125,64.554,86.842
104,4.187222290496415,1.7335825,64.638,87.184
105,4.182067468314276,1.726903125,64.44,86.984
106,4.18454299467119,1.699775625,65.282,87.244
107,4.17963547729948,1.61181,65.336,87.438
108,4.175442387238524,1.74398375,64.242,87.074
109,4.17057714060668,1.696509375,65.49,87.42
110,4.173830324410797,1.652994375,65.076,87.3
111,4.1597960768004185,1.61842375,65.278,87.544
112,4.158714220328268,1.70470875,64.734,87.276
113,4.162207525990586,1.71745625,65.084,87.526
114,4.153237300886714,1.650535,65.44,87.68
115,4.1470454521428834,1.62660625,65.552,87.61
116,4.145987032224205,1.71402625,65.53,87.65
117,4.1443294131061466,1.607036875,64.832,87.528
118,4.137524767204984,1.731213125,65.122,87.68
119,4.130530935029834,1.682354375,65.272,87.458
120,4.136792495636831,1.66141625,64.942,87.362
121,4.1317790929034155,1.638709375,65.728,87.752
122,4.132146341625133,1.6579375,65.452,87.738
123,4.120954961016386,1.696933125,65.694,87.844
124,4.1180830796242045,1.70238125,65.998,87.934
125,4.1010655357544925,1.6167775,66.038,88.024
126,4.108157288433849,1.66655125,65.564,87.848
127,4.101348473173194,1.60905,66.484,88.276
128,4.09828177274006,1.646475625,66.38,88.236
129,4.099179948789993,1.625296875,66.508,88.298
130,4.090719357417268,1.68548625,66.472,88.214
131,4.07685976667306,1.675775,66.582,88.164
132,4.083662783686295,1.70485625,66.56,88.53
133,4.08867261904986,1.600439375,66.592,88.29
