
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.6944253037104255,5.7411525,4.358,13.728
1,6.321217065281963,4.804115,12.278,29.91
2,5.98187093928163,3.98419625,21.906,45.322
3,5.696690761193802,3.48346875,30.076,56.006
4,5.484158842841613,3.15867,35.37,61.65
5,5.312926928805762,2.92588375,40.296,67.06
6,5.182445061196098,2.684825,44.254,70.408
7,5.083761012307628,2.73025875,45.71,72.13
8,5.010906006337308,2.456108125,48.458,74.602
9,4.9319937124823054,2.3505075,49.812,75.944
10,4.882204313951839,2.344281875,50.386,76.358
11,4.837314250050206,2.299420625,51.616,77.826
12,4.800336173512336,2.174999375,51.866,78.03
13,4.782735848262458,2.253306875,52.202,78.2
14,4.769029706088274,2.237124375,52.42,78.39
15,4.754864289241542,2.245428125,53.798,78.834
16,4.732133308411216,2.15060625,53.566,79.084
17,4.716608698140111,2.27047125,52.472,78.72
18,4.724014064674671,2.176339375,53.238,79.164
19,4.719580029474175,2.1306775,53.964,79.762
20,4.693562637403041,2.07247,54.172,79.602
21,4.6685219227177885,2.18424,53.74,79.412
22,4.652347781939492,2.13788625,54.716,80.348
23,4.657404327001923,2.14869625,54.654,80.072
24,4.6490418515323055,2.18411375,55.35,80.734
25,4.62911824944708,2.096333125,56.04,81.05
26,4.6170355129079965,2.08164125,55.128,81.066
27,4.60775914365136,1.96661125,56.296,81.526
28,4.590075656886295,2.022616875,56.364,81.578
29,4.596307853085498,2.062008125,55.562,80.842
30,4.579350933493619,2.0832925,56.352,81.76
31,4.577065309643067,2.062460625,56.216,81.542
32,4.576277048012059,2.024768125,56.862,81.922
33,4.571132081433221,2.0356875,57.044,81.974
34,4.5671838777431395,2.0476125,56.8,81.858
35,4.565381404676808,1.986059375,57.304,82.006
36,4.563002285250823,2.06137125,56.28,81.634
37,4.556241951594761,2.081518125,57.324,82.216
38,4.540225942862095,2.144218125,56.372,81.64
39,4.541177837745521,2.063819375,57.122,82.198
40,4.5377060411836085,1.99291125,57.218,81.888
41,4.5305121234394905,2.06591625,58.146,82.824
42,4.523109640199972,2.057685625,57.378,82.492
43,4.523903561038611,2.103895,57.498,82.214
44,4.524467589293271,2.063104375,58.004,82.596
45,4.5098354997948364,2.037818125,57.68,82.398
46,4.513827723453471,2.0202925,58.09,82.848
47,4.504776375719403,1.96222375,58.226,83.072
48,4.508205186690659,1.95764375,58.49,82.926
49,4.502954020201475,2.01892625,57.318,82.198
50,4.494774014338328,1.982420625,58.102,82.814
51,4.491385195397964,2.0199425,58.328,82.954
52,4.492010076249178,2.206125,57.846,82.462
53,4.494886105300449,2.022421875,57.952,82.782
54,4.485087639492987,1.930635625,58.856,83.386
55,4.482882096796248,1.95959,58.012,82.8
56,4.489858749327524,1.919876875,59.032,83.054
57,4.466225079144735,1.966069375,58.218,82.742
58,4.4707432804151495,2.0412425,58.952,83.178
59,4.465081136440324,1.948636875,59.102,83.406
60,4.466261859801947,1.935331875,59.226,83.478
61,4.466706269603709,1.989455,58.786,83.34
62,4.456636388957626,1.917029375,59.154,83.548
63,4.458804809483797,1.951241875,59.196,83.668
64,4.456463397805752,1.937784375,59.622,83.686
65,4.438726791671874,1.944321875,59.626,83.858
66,4.45747550234879,1.89974375,59.074,83.38
67,4.446500357053225,1.92596625,59.314,83.62
68,4.457079868500544,1.92072625,58.91,83.358
69,4.438780328207695,1.958093125,59.36,83.446
70,4.439111101935825,1.982351875,59.548,83.818
71,4.431287810761726,2.073954375,59.086,83.38
72,4.420383953788514,1.94623625,59.342,83.684
73,4.430148620731241,2.007218125,59.534,84.066
74,4.428174089106281,2.026775,59.22,83.608
75,4.41461489605301,1.900020625,60.038,84.072
76,4.421882940155724,2.044740625,59.47,83.978
77,4.418681175013929,1.900639375,60.624,84.144
78,4.414667538132078,1.9918025,60.412,84.514
79,4.40744549857235,1.8830725,60.708,84.518
80,4.408707518715258,1.92473,60.118,84.374
81,4.4041917183049275,1.92064375,60.002,84.134
82,4.403126069246228,1.867988125,60.642,84.586
83,4.390708430138058,1.968986875,60.116,84.312
84,4.400749659250042,1.930056875,60.464,84.512
85,4.3969108971197395,1.982949375,60.582,84.396
86,4.391276699213468,2.00986875,60.088,84.318
87,4.385485491346248,1.96534125,60.512,84.346
88,4.371051587714505,1.92587625,60.208,84.444
89,4.381566034853071,1.8654125,60.81,84.588
90,4.376733304785138,1.859516875,61.724,84.846
91,4.367473865820223,1.87377125,60.462,84.544
92,4.375294257763419,1.86085375,61.628,85.032
93,4.370295301113992,1.86423625,61.164,84.724
94,4.360466767934334,1.960021875,61.148,84.86
95,4.367945664578569,1.919461875,61.792,85.15
96,4.351363304338085,1.884690625,61.354,84.974
