epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.743565137569721,6.0474575,2.903999999961853,9.786000001983643
1,6.4431376824012165,5.1812325,9.373999998168946,23.98600000366211
2,6.183064488264231,4.49466875,16.092000002441406,36.02000001464844
3,5.882395799343403,3.83468125,25.938000021972655,50.017999963378905
4,5.593281287413377,3.39737875,32.598000010986325,58.074
5,5.432165237573477,2.93698875,39.86600000610352,65.90600000976562
6,5.155351180296678,2.6219175,45.03600000366211,71.22599997558594
7,5.032640787271353,2.396870625,48.67000000976562,74.25200001708984
8,4.947455681287325,2.35308625,51.48000001220703,76.78199998535156
9,4.778264229114239,2.1804040625,53.887999997558595,78.56799999511719
10,4.731786837944617,2.1642784375,54.96,79.60400002441406
11,4.685069414285513,2.0201484375,57.058000004882814,81.27200003417968
12,4.58967197399873,1.9508640625,57.79599998291015,81.7480000024414
13,4.5750614404678345,1.917615,59.11399997314453,82.77400004882813
14,4.505847266087165,1.870673125,59.768000004882815,83.41600001220704
15,4.522162950955904,1.8697053125,59.94599998046875,83.56200002685547
16,4.403188118567834,1.8570921875,60.95800001953125,84.1479999975586
17,4.385819109586569,1.7916425,62.09999999511719,84.72800000488282
18,4.399418890476227,1.826613125,61.416,84.54599997070312
19,4.357974593455975,1.76969375,62.57399999511719,85.14599999267578
20,4.2946194135225735,1.651231875,63.60400005371094,86.07200001464844
21,4.276716718306909,1.7747846875,63.63799999023438,86.41999998779296
22,4.210733652114868,1.6685521875,64.81399998046875,86.84200005859375
23,4.264281978973975,1.61678875,65.34400000488282,87.448
24,4.169040725781367,1.60280375,65.64000001220703,87.40400002929688
25,4.131227520795969,1.6458740625,66.02600001708984,87.51200002197265
26,4.085670044788947,1.6005278125,66.44400000488281,87.87399998779297
27,4.155491164097419,1.61708375,66.67199997558593,87.97399998046875
28,4.160003804243528,1.6339209375,66.75000001464844,88.23000003173829
29,4.068866340013651,1.595166875,67.35400000732422,88.72199998535156
30,4.047723692197066,1.5645975,67.61999998535157,88.68000001464844
31,4.098342867997976,1.4935271875,68.10999999755859,88.92400000732422
32,4.084823814722208,1.5094159375,67.88800002929688,88.73000000488281
33,4.021302791742178,1.5216446875,68.40800001220703,89.11600003173828
34,4.035720229148865,1.511531875,69.08400001953125,89.34200000244141
35,4.073059109541086,1.5189771875,68.61800000732421,89.20400001464844
36,3.969846555819878,1.5447425,68.89800003417969,89.33199998046875
37,3.9104840893011827,1.4401640625,69.06399997558594,89.45400003417969
38,3.970655624683087,1.5107653125,69.41600002441406,89.61600005371093
39,3.928804094974811,1.527275,69.3140000024414,89.51799998535157
40,3.9392569477741537,1.4455,69.87199998046874,89.88800003417968
41,3.914364062822782,1.5332665625,69.55600000732422,89.91000000732421
42,3.956652141534365,1.488599375,69.76999999023438,89.96200005859374
43,3.9415537394010105,1.532266875,69.4900000024414,89.6880000341797
44,3.9393559373342075,1.4428353125,69.71199998046875,89.87399998046875
45,3.905574679374695,1.4725290625,69.86000003417969,90.08200001464844
46,3.8927112496816196,1.4734071875,70.12200002929687,90.35000002685547
47,3.9420387699053836,1.438079375,69.93400001220704,90.16600005859375
48,3.9191550199802103,1.411973125,70.1539999975586,90.26599998291016
49,3.9636810284394484,1.44893625,70.44800004394531,90.40000005859375
50,3.8645554230763364,1.440275625,70.4760000048828,90.37399997558593
51,3.8878559240928063,1.43727375,70.72599998046876,90.448
52,3.942799577346215,1.4418303125,70.53599998535157,90.30000003173828
53,3.9023463221696706,1.430503125,70.45400002197266,90.50600000244141
54,3.8674583847706137,1.483763125,70.17799999267578,90.37200004882813
55,3.914664837030264,1.4550315625,70.84399999511719,90.69600005371093
56,3.9088648007466245,1.421015625,70.82200002929687,90.7440000048828
57,3.935414882806631,1.3873546875,71.42199998779297,90.83400004882813
58,3.8992611995110145,1.4547884375,70.39999998535156,90.34999997558593
59,3.8647526502609253,1.43852875,71.022,90.84800002441406
60,3.889355732844426,1.396925,71.14199998535156,90.68200004882813
61,3.881958305835724,1.446210625,71.19600001464843,90.84599998046875
62,3.8609650501838098,1.3988275,71.3740000024414,90.80800003173829
63,3.793235558729905,1.4212815625,71.29200000488281,90.83400003173828
64,3.8932684109761166,1.3308215625,71.42200000732421,91.02800002197266
65,3.8548529056402354,1.324994375,71.63399997558594,91.15800004882813
66,3.8415308869802036,1.417283125,71.4759999609375,90.91399997558594
67,3.872708898324233,1.387475625,71.65800000488281,91.05599997558593
68,3.8387784453538747,1.3890340625,71.77199998046875,90.93400004882812
69,3.8988784414071302,1.4144265625,71.20200000488282,90.86200002929688
70,3.79978458239482,1.335841875,71.97600000976563,91.16800004882812
71,3.8456506729125977,1.4152846875,71.83600003662109,91.14200000488282
72,3.805597640000857,1.3740509375,71.59000000488281,91.21200005859374
73,3.794574205691998,1.42591,71.86200000976562,90.94200005371094
74,3.762842114155109,1.375290625,71.83000002929687,91.12400001953125
75,3.8203085981882534,1.3855128125,72.1320000390625,91.188
76,3.7936863761681776,1.3564159375,71.55200001220703,91.10000005371094
77,3.8171498775482178,1.389108125,71.64799999511719,91.19800004882812
78,3.8195744936282816,1.333553125,71.78000000732422,91.12
79,3.7722484515263486,1.3759771875,72.07000003417969,91.282
80,3.798760487483098,1.32054625,72.14599999023437,91.27399999267578
81,3.7868419839785648,1.349325625,72.38000002197266,91.44600002929687
82,3.768406574542706,1.3904959375,71.64600001220703,91.31200000488282
83,3.8210360270280104,1.3174190625,72.28199999267578,91.33400002441407
84,3.757492794440343,1.383564375,72.43600001953125,91.46600004638672
85,3.804415074678568,1.4165734375,72.25800000488282,91.36599997558594
86,3.8374721866387587,1.405624375,72.23000002441407,91.33000003173828
87,3.816541850566864,1.35184875,72.59400000488282,91.65200002441406
88,3.779686015385848,1.3565346875,72.48799999267578,91.42199997802734
89,3.743939995765686,1.3807253125,72.40199997558594,91.38000002441406
90,3.759835353264442,1.3217940625,72.67199997070313,91.76999997070313
